HOSPCODE,PATCODE,MSA,region_midwest,region_northeast,region_south,region_west,emred_all,emred_part,emred_unk,hhsmue_yes,hhsmue_no,hhsmue_na,hhsmue_unk,p_ehrinse,edprim_freq,edinfo_yes,edinfo_no,edinfo_unk,edinfo_na,obsphysed_marked,obsphysed_notmarked,obsphysed_na,ambdiv,divhr_500,divhr_499,divhr_99,divhr_na,divhr_unk,edinfo,obsclin,obssep,board,boardhos,regdiv,admdiv,incshx,incphys,expspace,bedreg,kioselchk,catriage,imbed,advtriag,physpractria,fasttrak,edptor,dashbord,rfid,wireless,zonenurs,poolnurs,bedczar,hlist,hlisted,emedres,obsphysed_yes,obsphysed_no,obshosp_yes,obshosp_no,obshosp_na,obsphysot_yes,obsphysot_no,obsphysot_na,obsphysun_yes,obsphysun_no,obsphysun_na,surgday,beddata_instant
34,56,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,57,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,58,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,59,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,60,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,61,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,62,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,63,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,64,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,65,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,66,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,67,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,68,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,69,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,70,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,71,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,72,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,73,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,74,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,75,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
